ticker,name,category,fiscal_year,form,file_date,adsh,passage_idx,passage
JPM,JPMorgan Chase,traditional_bank,2025,10-K,2026-02-13,0001628280-26-008131,0,"erings, incur higher operational or compliance costs or forgo business opportunities. JPMorganChase’s operations, results, and competitive standing could be adversely affected by the development of advanced technologies such as AI. The rapid development and deployment of advanced technologies, including generative and agentic AI systems, present a range of risks to JPMorganChase’s businesses and operations, including: • AI system failures, inappropriate use of AI systems, lack of transparency in AI systems, or inaccurate or biased output from AI systems resulting from rapid deployment, insufficient testing, erroneous data, ineffective model d"
JPM,JPMorgan Chase,traditional_bank,2025,10-K,2026-02-13,0001628280-26-008131,1,", which could disrupt operations, cause erroneous transactions, compromise data privacy, infringe on intellectual property, harm clients and customers, or impair JPMorganChase’s ability to make sound business decisions • increased exposure to cyber attacks, system manipulation, or data loss if AI systems, particularly agentic systems, are not designed and implemented with appropriate safeguards to prevent systems from accessing sensitive data sources or system resources and taking actions • intensified AI-enabled cyber threats, which may allow malicious actors to exploit vulnerabilities, reverse-engineer security patches, and conduct sophi"
JPM,JPMorgan Chase,traditional_bank,2025,10-K,2026-02-13,0001628280-26-008131,2,"disadvantage if competitors are able to deploy AI more quickly or effectively, potentially gaining advantages in cost efficiency, client and customer experience, or product innovation, which could result in a loss of market share to competitors, or • replacement or disintermediation of direct customer relationships if AI agents autonomously manage or intermediate financial decisions and product selection or other services for customers. It is also possible that JPMorganChase could miscalibrate its workforce planning and employee training efforts either because of over-reliance on AI or the failure to appropriately adopt AI. Over-reliance on"
HSBC,HSBC Holdings,traditional_bank,2025,20-F,2026-02-26,0001089113-26-000010,0,"ory approval over the next two years. Should the agreed timelines not be met, there is a potential risk of requirements to hold additional capital or fines being applied by regulators. Focus remains on AI and machine learning models given the rapid pace of technological advances, including the development of GenAI and agentic AI (autonomous systems powered by AI agents). AI is driving significant changes in modelling techniques, and regulators across the globe are beginning to publish regulations and guidance. Mitigating actions – We are investing in the redevelopment of our IRB models used in our wholesale businesses to enhance our modelling capability and help ensure we meet regul"
HSBC,HSBC Holdings,traditional_bank,2025,20-F,2026-02-26,0001089113-26-000010,1,"ess to help ensure that identified risks have adequate oversight and review. A framework has been developed to manage the range of risks that are generated by these advanced techniques and to recognise the multidisciplinary nature of these risks. – We have enhanced our inventory control to apply heightened scrutiny of agentic AI use cases before deployment. Strategic execution risk Effective management of strategic execution risk is essential to delivering our strategy, fulfilling shareholder expectations, and sustaining stakeholder confidence. To achieve the Group’s strategic commitments, it is essential to engage in effective financial reso"
HSBC,HSBC Holdings,traditional_bank,2025,20-F,2026-02-26,0001089113-26-000010,2,"ts to our framework for the independent validation of models, including new GenAI techniques that are becoming more widely used; and – continued to work closely with businesses and infrastructure teams in developing a governance framework to manage the range of risks these AI techniques, including machine learning and agentic AI (autonomous systems powered by AI agents), can introduce. Governance and structure We have completed a review of model risk governance committees at the Group, business and functional levels to help ensure they provide effective and efficient oversight of model risk. The committees include senior leaders from the businesses, infrastructure teams and the Grou"
BCS,Barclays,traditional_bank,2025,20-F,2026-02-10,0000312069-26-000004,0,"of partnership arrangements due to a contractual breach and changes in consumer behaviour regarding spending patterns, could have a negative impact on the Group’s business, results of operations, financial condition and prospects. x) Evolving landscape with respect to artificial intelligence (including generative and agentic artificial intelligence) (AI) and machine learning technologies The use of rapidly evolving technologies such as AI, by the Group and its third-party service providers, while presenting significant benefits, can also present risks and challenges to the Group’s business. Use of AI (and particularly the growing use of agentic AI) may expose the Group to liability, reputational harm, regulatory actions and threats of litigation, particularly if such technology produces errors or hallucinations, or results in output that is biased, harmful, discriminatory or that infringes the intellectual property or data privacy rights of third parties, or ot"
BCS,Barclays,traditional_bank,2025,20-F,2026-02-10,0000312069-26-000004,1,"ich patching or the deployment of other defences is underway, but not yet complete. Malicious actors are also increasingly developing methods to avoid detection and alerting capabilities, including by employing counter-forensic tactics, making response activities more difficult. Additionally, the Group's deployment of agentic AI with access to systems, data and third-party tools creates an expanded attack surface for cyber attacks, as threat actors may exploit inadequate permissioning controls to manipulate agents into executing unauthorised actions, accessing sensitive information or initiating malicious transactions beyond their intended sc"
BCS,Barclays,traditional_bank,2025,20-F,2026-02-10,0000312069-26-000004,2,"ing algorithms. Any of these risks could impair the adoption and acceptance of AI and result in regulatory investigations or actions, litigation, client dissatisfaction, reputational harm and adverse effects on its business and financial condition. These risks may be more significant for certain AI tools (for example, agentic AI has the potential to exacerbate certain risks, such as those relating to data privacy and security, due to its autonomous nature) or if AI is deployed in an uncoordinated but widespread way within the Group (particularly relating to the use of AI agents). If the output from AI in the Group's products, systems or solutions is deemed to be inaccurate or questionable, or if the use of AI does not operate as anticipated or perform as promised (including in relation to confidential information and personal data), the Group may be exposed to additional liability, reputational harm, potential regulatory enforcement and threats of litigation, as further described at “Evolving landscape with respect to artificial intelligence (including generative and agentic artificial intelligence) (AI) and machine learning technologies,” “Model risk” and “Data management, information protection and AI”. Alongside those risks associated with the deployment of AI, risks could also arise from decisions not to deploy the technology. As the adoption of AI quickens, risks arising from competi"
BCS,Barclays,traditional_bank,2025,20-F,2026-02-10,0000312069-26-000004,3,"al data) used to train or develop AI technologies or how inputs are converted to outputs and the Group may not be able to fully validate this process and its accuracy (particularly where it is part of a complex, multi-step process and inaccurate or incomplete information may be compounded across many steps, such as in agentic AI systems). This could result in outputs that include or are derived from inaccurate, incomplete or erroneous information, or that include AI bias, AI hallucinations, harmful content, discrimination, violation of privacy law or intellectual property infringement or misappropriation. Additionally, if the AI model in a to"
